output_1,output_2,output_3
1.0,2.0,0.002620316112484034
0.0,3.0,1111.486770218497
0.0,3.0,1108.142297013739
1.0,1.0,-0.00224193318183552
1.0,3.0,67.7101302130993
0.0,1.0,1216.084373059613
0.0,7.0,1313.597468123988
1.0,10.0,166.7533793290229
1.0,4.0,1.142828466527135e-05
1.0,6.0,175.9606118379218
1.0,2.0,44.83456511357511
1.0,4.0,45.94136140872823
1.0,1.0,104.0520873736767
1.0,1.0,0.01404798413591379
1.0,4.0,639.8836786993112
0.0,2.0,841.2247881722881
1.0,5.0,75.43182757950102
0.0,0.0,1173.287226403393
0.0,2.0,1266.287392122604
0.0,0.0,1171.005027811742
0.0,1.0,1436.38374381965
1.0,1.0,0.008596842850920439
0.0,0.0,1280.037856021129
1.0,7.0,0.004358096772193676
1.0,2.0,14.38238039077957
0.0,2.0,1254.58065078238
1.0,3.0,420.5435743070345
0.0,3.0,1457.294184016865
1.0,8.0,47.18432960664479
1.0,1.0,6.503865717501913
0.0,1.0,490.6791672529846
0.0,4.0,1029.771929159949
1.0,7.0,-6.448492899835401e-05
1.0,1.0,0.002019839173726723
1.0,7.0,62.69565739047759
1.0,1.0,-0.0006987753739622349
1.0,6.0,127.6117109552914
1.0,6.0,53.72271777597657
1.0,2.0,-0.003911668814680525
1.0,3.0,1037.493070006278
1.0,10.0,241.1056568772671
1.0,6.0,603.5073932693572
1.0,1.0,0.00374595919015519
0.0,1.0,733.9185241078728
1.0,4.0,228.754964892491
1.0,9.0,0.006978255171588899
1.0,1.0,-0.0004027731326914363
0.0,3.0,938.6934915995872
1.0,4.0,-0.002836889304603574
0.0,0.0,1024.425948804598
1.0,5.0,247.1753829022784
1.0,1.0,-0.02904750766833786
0.0,0.0,1547.279791875796
0.0,1.0,984.4628190991652
1.0,1.0,0.03599169474910013
1.0,4.0,416.395149693076
1.0,7.0,-0.03986240678750619
1.0,2.0,0.005165167421750994
0.0,2.0,904.18941731583
0.0,6.0,1187.523788344351
1.0,2.0,1061.217521547361
1.0,1.0,0.002125571056581066
1.0,2.0,0.03885910324561337
1.0,3.0,52.73066726108205
1.0,1.0,-0.003034557316709652
1.0,1.0,37.33240941340443
0.0,1.0,878.786931787595
1.0,3.0,28.52195964044276
1.0,3.0,135.2033677940732
1.0,3.0,110.7092567153966
1.0,1.0,30.83702061256609
1.0,1.0,17.83271982734912
0.0,2.0,1073.835978087731
0.0,1.0,834.3759291182843
1.0,9.0,533.9363896214913
1.0,8.0,4.08835742969146
1.0,6.0,-0.0006662725987780505
1.0,1.0,79.2976484581608
1.0,2.0,279.999092601387
0.0,7.0,562.7540471654913
1.0,11.0,545.9825906930073
0.0,8.0,1052.89298940324
1.0,8.0,-0.0004062882169364457
1.0,4.0,64.9835235215925
1.0,4.0,93.18736561290059
1.0,5.0,111.620916617988
1.0,6.0,120.1702803197831
0.0,2.0,1028.331267549695
1.0,1.0,-0.01246086561013726
1.0,1.0,0.03325161447924074
1.0,2.0,78.27218577459224
1.0,1.0,7.901398476634786
0.0,4.0,507.9028354792554
1.0,7.0,386.2586473191335
1.0,1.0,0.007607649765759561
1.0,1.0,-0.01575937067559607
0.0,1.0,1033.658680397207
1.0,1.0,38.80218155144287
1.0,5.0,-0.002639202596469659
1.0,1.0,0.005204593477174058
0.0,4.0,934.0489017105704
1.0,1.0,43.53825392537991
1.0,7.0,135.1943635740053
1.0,4.0,199.0606272554549
0.0,2.0,1400.229783247507
1.0,1.0,77.64060042966898
0.0,7.0,1036.706939745488
1.0,12.0,170.4665474252609
1.0,3.0,354.9738839327398
0.0,2.0,1231.930660327341
1.0,1.0,0.02870456281584666
0.0,0.0,1094.273102086572
1.0,15.0,-0.004303807866222087
1.0,5.0,847.5658526197851
1.0,6.0,48.72345051419711
0.0,0.0,1145.73941144034
1.0,4.0,66.1025913967644
1.0,9.0,253.7207030424238
1.0,1.0,110.1474071746577
1.0,8.0,135.26167235465
1.0,7.0,423.706565903039
1.0,1.0,70.21355655745906
0.0,1.0,900.335267802762
1.0,3.0,80.88579368358909
1.0,7.0,283.800904268805
1.0,6.0,156.2074295971208
0.0,0.0,793.3812593190535
